Country,Year,Outcome
CHE,1995,1969.284
AUS,2017,1633.928
SWE,2003,636.489
SWE,2004,659.978
AUS,1997,825.535
AUS,1971,412.656
AUS,1972,429.702
AUS,1973,452.038
AUS,1974,497.619
AUS,1975,388.881
AUS,1976,499.127
SWE,2018,928.568
AUS,1988,614.304
AUS,1980,584.105
AUS,1981,631.282
AUS,1982,668.818
AUS,1983,622.708
AUS,1984,488.745
AUS,1985,500.858
AUS,1986,540.927
AUS,2000,922.535
AUS,2022,1622.79
AUS,2020,1649.813
AUS,2019,1539.928
AUS,2018,1663.633
AUS,2016,1615.061
AUS,2015,1582.957
AUS,1989,643.534
AUS,1990,679.419
AUS,1991,698.842
MEX,2015,550.432
TUR,1988,135.453
USA,2012,4763.962
AUT,2000,1204.061
AUT,2001,1246.229
AUT,2002,1278.699
AUT,2003,1305.53
AUT,2004,1370.982
AUT,2005,1349.836
AUT,2006,1354.8
AUT,2007,1391.663
AUT,2008,1412.159
AUT,2009,1422.443
AUT,2010,1467.212
AUT,2011,1468.779
AUT,2012,1482.685
AUT,2013,1520.286
AUT,2014,1541.098
AUT,2015,1563.826
AUT,2016,1599.446
AUT,2017,1628.192
AUT,2018,1598.798
AUT,2019,1601.658
AUT,2020,1485.289
AUT,2021,1559.764
AUT,2022,1502.103
AUT,2024,1562.964
AUT,1990,820.337
AUT,2023,1484.519
AUT,1995,1038.823
AUT,1970,447.996
AUT,1971,462.638
AUT,1972,495.686
AUS,2023,1626.093
AUS,2024,1663.597
AUS,2002,997.885
AUS,2003,1064.772
AUS,2007,1195.615
AUS,2008,1256.414
AUS,2009,1270.776
AUS,2010,1339.646
GBR,2009,742.578
GBR,2010,785.049
AUS,1979,594.94
CAN,2004,1206.751
CAN,2005,1242.471
CAN,1993,846.331
CAN,1994,870.454
CAN,1995,878.464
CAN,1996,878.15
CAN,1997,926.852
CAN,1998,950.286
CAN,1999,983.613
CAN,2000,1021.616
CAN,2001,1080.32
CAN,2002,1134.71
CAN,2008,1409.386
CAN,2003,1153.161
CAN,2007,1368.574
CAN,1985,612.992
CAN,1986,645.387
CAN,1987,665.593
CAN,1988,698.538
CAN,1989,727.705
CAN,1990,756.91
CAN,1991,776.085
CAN,1992,808.407
CAN,2024,1772.374
CAN,2013,1483.769
CAN,2015,1529.258
CAN,2014,1496.571
CAN,2012,1501.665
CAN,2021,1782.997
CAN,2020,1622.569
CAN,2022,1780.733
CAN,2023,1775.78
CAN,2011,1490.078
CAN,2009,1440.022
CAN,2010,1506.822
CAN,1970,428.488
CAN,1971,419.936
CAN,1972,425.901
CAN,1973,435.536
CAN,1974,430.079
CAN,1976,450.559
CAN,1977,460.093
CAN,1978,470.945
CAN,1979,492.599
CAN,1980,505.699
CAN,1981,521.0
CAN,1982,536.676
CAN,1983,552.345
CAN,1984,580.917
CAN,1975,443.557
BEL,2018,1464.001
BEL,2019,1558.712
BEL,1995,763.375
BEL,2009,1387.065
BEL,2003,1200.359
BEL,2021,1578.532
BEL,2020,1460.492
BEL,2022,1600.048
BEL,2000,989.899
BEL,2001,980.572
BEL,2002,1080.942
BEL,2004,1213.166
BEL,2005,1220.371
BEL,2006,1220.713
BEL,2007,1268.288
BEL,2008,1227.415
BEL,2010,1376.088
BEL,2011,1343.278
BEL,2012,1344.162
BEL,2013,1369.753
BEL,2014,1360.871
BEL,2015,1395.599
BEL,2016,1392.304
BEL,2024,1643.294
BEL,1996,750.208
BEL,1997,857.654
BEL,1998,910.856
BEL,1999,965.351
BEL,2023,1616.973
AUT,1974,544.211
LTU,2019,984.882
AUS,1996,834.148
AUT,1997,1080.864
AUT,1998,1147.45
AUT,1999,1190.523
DNK,1999,648.82
DNK,2003,693.051
DNK,2007,814.542
DNK,2006,785.887
DNK,2005,758.858
DNK,2004,737.806
DNK,2002,681.347
DNK,2024,981.876
CZE,2019,543.104
CZE,2018,512.618
CZE,2020,481.834
CZE,2021,585.139
CZE,2003,236.695
CZE,2000,177.072
CZE,1990,31.535
CZE,1991,34.96
CZE,1992,49.993
CZE,1993,78.576
CZE,1994,99.885
CZE,1996,167.034
CZE,1997,171.035
CZE,1998,171.115
CZE,1999,171.3
CZE,2001,198.972
CZE,2002,202.772
CZE,2006,332.901
CZE,2004,255.852
CZE,2007,381.405
CZE,2005,314.587
CZE,2012,442.164
CZE,2013,444.602
CZE,2014,481.455
CZE,2017,498.464
CZE,2016,487.74
CZE,2015,477.195
CZE,2022,603.098
CZE,2023,609.999
CZE,2024,604.597
CZE,1995,160.175
CZE,2011,446.187
CZE,2009,482.051
CZE,2008,469.777
CZE,2010,436.789
CRI,2012,353.311
CRI,2011,367.417
CRI,2023,456.83
CRI,2022,433.151
CRI,2021,414.544
CRI,2016,365.728
CRI,2014,382.273
CRI,2015,369.22
CRI,2013,344.1
CRI,2017,363.947
CRI,2018,398.466
CRI,2020,382.764
CRI,2019,399.799
CRI,2024,470.397
CRI,2009,347.288
CRI,2010,353.022
CRI,2008,356.201
CRI,2007,344.805
CRI,2006,325.012
CRI,2005,316.664
COL,2000,139.063
COL,2001,141.39
COL,2002,127.883
COL,2003,125.011
COL,2004,158.448
COL,2005,187.368
COL,2006,204.993
COL,2007,232.324
COL,2008,270.639
COL,2009,261.787
COL,2010,260.75
COL,2011,255.278
COL,2012,283.857
COL,2013,286.027
COL,2018,316.218
COL,2022,332.425
COL,2024,370.769
COL,2023,359.081
COL,2021,344.749
COL,2020,312.005
COL,2019,323.428
USA,2023,1998.205
USA,2024,2109.892
AUS,1977,604.87
AUS,1978,587.551
CAN,2019,1718.391
CAN,2018,1691.23
CAN,2017,1665.433
CAN,2016,1621.547
CAN,2006,1328.404
FIN,2006,952.747
FIN,2022,1052.858
FIN,2021,1086.738
FIN,2019,1068.807
FIN,2023,1020.365
FIN,2020,1040.072
FIN,1996,806.933
FIN,2001,859.601
FIN,1999,856.983
FIN,1998,807.15
FIN,1997,811.141
FIN,2000,836.057
FIN,1970,304.161
FIN,1971,334.203
FIN,1972,379.351
FIN,1973,370.083
FIN,1974,368.645
FIN,1975,336.523
FIN,1976,360.069
FIN,1977,360.266
FIN,1978,379.003
FIN,1979,387.508
FIN,1980,383.248
FIN,1981,385.555
FIN,1982,395.814
FIN,1983,431.346
FIN,1984,460.626
FIN,1985,492.612
FIN,1986,498.659
FIN,1987,521.219
FIN,1988,549.957
FIN,1989,564.634
FIN,1990,575.051
FIN,1991,586.131
FIN,1992,602.719
FIN,1994,628.794
FIN,1995,776.218
FIN,2004,935.778
FIN,2005,974.512
FIN,2002,886.53
FIN,2003,912.658
FIN,2011,1023.377
FIN,2012,1014.692
FIN,2013,1036.373
FIN,2014,1025.148
FIN,2010,1025.559
EST,2019,675.957
EST,2017,632.193
EST,2018,662.827
EST,2011,436.894
EST,2010,444.53
EST,2022,724.937
EST,2009,425.494
EST,2012,456.121
EST,2020,668.998
EST,2021,754.852
EST,2006,370.67
EST,2007,425.637
EST,2005,358.807
EST,2008,442.21
EST,2013,501.274
EST,2014,527.519
EST,2016,589.459
EST,2015,564.478
EST,2023,705.905
EST,2024,712.377
EST,1999,173.186
EST,2000,205.627
EST,2001,190.538
EST,2002,220.486
EST,2004,324.306
EST,2003,269.574
DNK,1970,327.642
DNK,1971,345.073
DNK,1972,354.85
DNK,1973,368.018
DNK,1974,358.159
DNK,1975,356.914
DNK,1976,333.102
DNK,1977,342.765
AUT,1975,601.722
AUS,2014,1604.334
AUS,2021,1612.345
AUS,1995,785.016
AUT,1993,909.849
AUT,1994,941.919
AUT,1996,1069.474
DNK,1993,583.678
DNK,1994,611.095
DNK,1995,591.109
DNK,1996,615.943
DNK,1997,632.827
DNK,1998,647.93
GRC,1988,616.056
GRC,1989,670.317
GRC,1990,707.51
GRC,1991,702.434
GRC,1992,738.206
GRC,2016,947.475
GRC,2017,944.11
GRC,2018,990.007
GRC,2019,961.488
GRC,2020,1009.017
GRC,2021,1062.726
GRC,2007,1218.443
GRC,2008,1203.927
GRC,2009,1128.861
GRC,2006,1218.304
GRC,1996,965.939
GRC,1993,813.073
GRC,1994,993.74
GRC,1995,985.475
DEU,1978,655.289
DEU,1979,667.07
DEU,1980,678.289
DEU,1981,694.008
DEU,1982,693.162
DEU,1983,731.845
DEU,1984,754.576
DEU,1985,791.549
DEU,1986,817.656
DEU,1987,849.927
DEU,1988,903.326
DEU,1989,904.774
DEU,1990,924.701
DEU,2021,1100.264
