Country,Year,Outcome
TUR,1999,375.505
AUS,1991,1358.014
ESP,1999,1706.965
ESP,2003,2086.063
AUS,2014,3341.393
AUS,2021,4576.375
AUS,2023,4152.316
AUS,2024,4327.593
AUS,2022,4342.001
AUS,2020,4169.235
AUS,2019,3895.556
CHE,1996,2577.489
AUS,2015,3492.455
AUS,2000,1994.936
AUS,2003,2267.852
AUS,2007,2699.854
AUS,2008,2796.324
AUS,2009,2868.013
AUS,2010,2931.691
AUS,2011,3051.732
AUS,2012,2977.201
AUS,2013,2894.614
AUS,1999,1941.464
AUS,1998,1803.517
AUS,2006,2561.071
AUS,2005,2471.166
AUS,2004,2424.993
AUS,2002,2182.689
AUS,2001,2059.193
SWE,2021,5418.855
GBR,2011,3450.985
GBR,2012,3481.331
AUT,1987,1794.106
AUT,1988,1836.859
AUT,1989,1891.584
AUT,1991,2464.57
AUT,1992,2597.519
AUT,1993,2757.603
AUT,1994,2975.113
AUT,1996,3065.391
AUT,1997,3130.554
AUT,1998,3297.753
AUT,1999,3473.486
AUT,2000,3514.877
AUT,2001,3530.135
AUT,2002,3616.375
AUT,2003,3661.82
AUT,2004,3752.748
AUT,2005,3818.425
AUT,2006,3912.493
AUT,2007,4028.056
AUT,2008,4186.028
AUT,2009,4281.935
AUT,2024,5024.81
AUT,1990,2381.383
AUT,1995,3028.461
AUT,1970,696.044
AUT,1971,731.291
AUT,1972,777.042
AUT,1973,838.717
AUT,2010,4278.583
AUT,2011,4261.594
AUT,2012,4333.893
AUS,1995,1548.945
AUS,1996,1606.162
AUS,1997,1700.59
AUS,1971,654.761
AUS,1972,667.347
AUS,1973,700.955
AUS,1974,782.733
FIN,1975,1122.362
EST,2006,1127.131
AUS,1985,1259.199
AUS,1986,1279.716
CAN,1978,1542.971
CAN,1979,1556.655
CAN,1980,1611.788
CAN,1981,1684.103
CAN,1982,1776.624
CAN,1983,1824.114
CAN,1984,1851.724
CAN,1985,1896.953
CAN,1986,1943.035
CAN,1987,1995.558
CAN,1988,2060.534
CAN,1989,2128.054
CAN,1990,2184.723
CAN,1991,2244.353
CAN,1992,2281.121
CAN,2024,4173.696
CAN,2013,3625.381
CAN,2015,3724.425
CAN,2014,3628.298
CAN,2011,3523.9
CAN,2012,3599.627
CAN,2021,4749.46
CAN,2022,4358.988
CAN,2023,4205.28
CAN,2010,3504.676
CAN,2009,3405.377
CAN,1999,2268.879
CAN,2000,2380.682
CAN,2001,2485.965
CAN,2002,2557.449
CAN,2008,3264.423
CAN,2003,2684.183
CAN,2007,3145.831
CAN,2020,4586.043
CAN,2019,3922.578
CAN,2018,3876.142
CAN,2017,3822.901
CAN,2016,3763.865
CAN,2006,3030.508
CAN,2004,2799.605
CAN,2005,2880.042
CAN,1993,2220.692
CAN,1994,2182.212
CAN,1995,2145.451
CAN,1996,2104.043
CAN,1997,2138.292
CAN,1998,2244.267
BEL,2024,4636.765
BEL,2023,4505.615
BEL,2015,4393.793
BEL,2016,4464.079
BEL,2017,4511.103
BEL,2018,4557.827
BEL,1995,2526.705
BEL,2003,3383.867
BEL,2021,4769.963
BEL,2020,4636.054
BEL,2022,4514.106
BEL,1999,2831.893
BEL,2000,2908.112
BEL,2001,3006.682
BEL,2002,3044.279
BEL,2004,3577.447
BEL,2005,3561.383
BEL,2006,3560.843
BEL,2007,3622.506
BEL,2008,3809.422
BEL,2009,4017.613
BEL,2010,4041.383
BEL,2011,4063.885
BEL,2012,4126.814
BEL,2013,4136.698
BEL,2014,4213.816
BEL,1992,2381.32
BEL,1993,2388.021
BEL,1994,2373.253
BEL,1996,2687.526
BEL,1997,2625.616
BEL,1998,2704.265
BEL,2019,4524.154
ESP,1993,1521.215
AUS,2017,3687.12
AUT,1984,1522.654
AUT,1985,1597.245
AUT,1986,1677.33
DNK,2013,4522.919
DNK,2010,4578.767
DNK,2008,4285.163
DNK,1994,2734.353
DNK,1995,2697.452
DNK,1996,2785.962
CZE,2022,3409.828
CZE,2023,3332.533
CZE,2024,3442.252
CZE,2003,1993.307
CZE,2006,2099.908
CZE,2004,2024.699
CZE,2005,2075.787
CZE,2011,2506.321
CZE,2014,2587.984
CZE,2012,2498.573
CZE,2013,2480.218
CZE,2019,3047.543
CZE,2020,3616.374
CZE,2021,3830.973
CZE,2007,2109.79
CZE,2009,2399.32
CZE,2008,2155.241
CZE,2010,2527.058
CZE,1991,891.389
CZE,1992,901.273
CZE,1993,1241.772
CZE,1994,1324.524
CZE,1996,1452.424
CZE,1997,1438.559
CZE,1998,1458.991
CZE,1999,1543.152
CZE,2002,1824.603
CZE,2001,1670.491
CZE,1995,1398.14
CZE,2000,1559.354
CZE,1990,1041.37
CZE,2018,2903.564
CZE,2017,2795.193
CZE,2016,2731.481
CRI,2013,1026.457
CRI,2018,1123.776
CRI,2017,1089.917
CRI,2020,1198.677
CRI,2019,1134.191
CRI,2006,657.25
CRI,2005,584.106
CRI,2004,595.114
CRI,2012,1011.017
CRI,2011,991.67
CRI,2023,1107.754
CRI,2022,1142.846
CRI,2021,1227.13
CRI,2024,1136.102
CRI,2009,881.293
CRI,2010,960.061
CRI,2008,776.948
CRI,2007,699.032
CRI,2014,1031.653
CRI,2015,1098.741
COL,2000,452.973
COL,2001,474.009
COL,2002,464.282
COL,2003,493.496
COL,2004,501.584
COL,2005,537.672
COL,2006,595.019
COL,2007,633.262
COL,2008,688.116
COL,2009,759.961
COL,2010,774.487
COL,2011,806.315
COL,2012,802.662
COL,2021,1256.553
COL,2020,1067.002
COL,2019,1053.406
COL,2013,885.584
COL,2017,1005.618
COL,2016,965.543
COL,2015,969.813
COL,2014,937.688
COL,2018,1029.759
COL,2024,1176.016
COL,2022,1108.837
GBR,1971,650.644
GBR,1972,696.414
AUS,1983,1055.098
AUS,1984,1224.9
CAN,1972,1222.434
CAN,1973,1259.208
CAN,1974,1333.615
CAN,1976,1543.301
CAN,1977,1540.921
FIN,1983,1504.555
FIN,1984,1560.047
FIN,1985,1704.423
FIN,1986,1804.637
FIN,1987,1923.915
FIN,1988,2008.081
FIN,1989,2136.268
FIN,1990,2300.066
FIN,1991,2389.3
FIN,1992,2257.517
FIN,1994,1865.047
FIN,1995,1921.827
FIN,1993,1931.965
FIN,2024,4431.824
FIN,2023,4354.345
FIN,2020,3926.681
FIN,2001,2522.052
FIN,1997,2024.203
FIN,1998,2077.954
FIN,1999,2119.341
FIN,1996,1986.863
FIN,2000,2394.875
FIN,2004,2965.251
FIN,2005,3113.961
FIN,2002,2676.286
FIN,2003,2808.223
FIN,2011,3547.844
FIN,2012,3636.889
FIN,2013,3663.697
FIN,2010,3449.83
FIN,1970,754.189
FIN,1971,818.478
FIN,2018,3615.174
FIN,2019,3761.512
FIN,2014,3638.066
FIN,2016,3546.71
FIN,2007,3324.195
FIN,2008,3422.425
FIN,2009,3427.716
FIN,2006,3240.834
FIN,2022,4106.187
FIN,2021,4126.97
FIN,2015,3580.671
FIN,2017,3564.641
FIN,1972,873.246
FIN,1973,941.526
FIN,1974,985.833
EST,2007,1319.391
EST,2009,1425.439
EST,2008,1428.927
EST,2014,1569.424
EST,2015,1666.286
EST,1999,686.881
EST,2000,687.713
EST,2001,689.987
EST,2002,720.287
