DATAFLOW,REF_AREA,FREQ,MEASURE,UNIT_MEASURE,FINANCING_SCHEME,FINANCING_SCHEME_REV,FUNCTION,MODE_PROVISION,PROVIDER,FACTOR_PROVISION,ASSET_TYPE,PRICE_BASE,TIME_PERIOD,OBS_VALUE,BASE_PER,CURRENCY,OBS_STATUS,OBS_STATUS2,OBS_STATUS3,UNIT_MULT,DECIMALS
OECD.ELS.HD:DSD_SHA@DF_SHA(1.0),SWE,A,EXP_HEALTH,USD_PPP_PS,_T,_Z,_T,_T,_T,_Z,_Z,Q,2003,3723.876,2020,,,,,0,1
OECD.ELS.HD:DSD_SHA@DF_SHA(1.0),AUS,A,EXP_HEALTH,USD_PPP_PS,_T,_Z,_T,_T,_T,_Z,_Z,Q,1995,2333.961,2020,,,,,0,1
OECD.ELS.HD:DSD_SHA@DF_SHA(1.0),CHE,A,EXP_HEALTH,USD_PPP_PS,_T,_Z,_T,_T,_T,_Z,_Z,Q,1974,2366.993,2020,,,,,0,1
OECD.ELS.HD:DSD_SHA@DF_SHA(1.0),CHE,A,EXP_HEALTH,USD_PPP_PS,_T,_Z,_T,_T,_T,_Z,_Z,Q,1975,2513.9,2020,,,,,0,1
OECD.ELS.HD:DSD_SHA@DF_SHA(1.0),AUS,A,EXP_HEALTH,USD_PPP_PS,_T,_Z,_T,_T,_T,_Z,_Z,Q,2014,4945.727,2020,,,,,0,1
OECD.ELS.HD:DSD_SHA@DF_SHA(1.0),AUS,A,EXP_HEALTH,USD_PPP_PS,_T,_Z,_T,_T,_T,_Z,_Z,Q,2021,6188.72,2020,,,,,0,1
OECD.ELS.HD:DSD_SHA@DF_SHA(1.0),AUS,A,EXP_HEALTH,USD_PPP_PS,_T,_Z,_T,_T,_T,_Z,_Z,Q,2023,5778.409,2020,,E,,,0,1
OECD.ELS.HD:DSD_SHA@DF_SHA(1.0),AUS,A,EXP_HEALTH,USD_PPP_PS,_T,_Z,_T,_T,_T,_Z,_Z,Q,2024,5991.19,2020,,E,,,0,1
OECD.ELS.HD:DSD_SHA@DF_SHA(1.0),AUS,A,EXP_HEALTH,USD_PPP_PS,_T,_Z,_T,_T,_T,_Z,_Z,Q,2022,5964.79,2020,,,,,0,1
OECD.ELS.HD:DSD_SHA@DF_SHA(1.0),AUS,A,EXP_HEALTH,USD_PPP_PS,_T,_Z,_T,_T,_T,_Z,_Z,Q,2020,5819.048,2020,,,,,0,1
OECD.ELS.HD:DSD_SHA@DF_SHA(1.0),AUS,A,EXP_HEALTH,USD_PPP_PS,_T,_Z,_T,_T,_T,_Z,_Z,Q,2019,5435.483,2020,,,,,0,1
OECD.ELS.HD:DSD_SHA@DF_SHA(1.0),SWE,A,EXP_HEALTH,USD_PPP_PS,_T,_Z,_T,_T,_T,_Z,_Z,Q,1976,2299.803,2020,,,,,0,1
OECD.ELS.HD:DSD_SHA@DF_SHA(1.0),AUS,A,EXP_HEALTH,USD_PPP_PS,_T,_Z,_T,_T,_T,_Z,_Z,Q,2015,5075.413,2020,,,,,0,1
OECD.ELS.HD:DSD_SHA@DF_SHA(1.0),AUS,A,EXP_HEALTH,USD_PPP_PS,_T,_Z,_T,_T,_T,_Z,_Z,Q,2007,3895.468,2020,,D,,,0,1
OECD.ELS.HD:DSD_SHA@DF_SHA(1.0),AUS,A,EXP_HEALTH,USD_PPP_PS,_T,_Z,_T,_T,_T,_Z,_Z,Q,2008,4052.738,2020,,D,,,0,1
OECD.ELS.HD:DSD_SHA@DF_SHA(1.0),AUS,A,EXP_HEALTH,USD_PPP_PS,_T,_Z,_T,_T,_T,_Z,_Z,Q,2009,4138.789,2020,,D,,,0,1
OECD.ELS.HD:DSD_SHA@DF_SHA(1.0),AUS,A,EXP_HEALTH,USD_PPP_PS,_T,_Z,_T,_T,_T,_Z,_Z,Q,2010,4271.338,2020,,D,,,0,1
OECD.ELS.HD:DSD_SHA@DF_SHA(1.0),AUS,A,EXP_HEALTH,USD_PPP_PS,_T,_Z,_T,_T,_T,_Z,_Z,Q,2011,4409.157,2020,,D,,,0,1
OECD.ELS.HD:DSD_SHA@DF_SHA(1.0),AUS,A,EXP_HEALTH,USD_PPP_PS,_T,_Z,_T,_T,_T,_Z,_Z,Q,2012,4408.33,2020,,D,,,0,1
OECD.ELS.HD:DSD_SHA@DF_SHA(1.0),AUS,A,EXP_HEALTH,USD_PPP_PS,_T,_Z,_T,_T,_T,_Z,_Z,Q,2013,4455.309,2020,,D,,,0,1
OECD.ELS.HD:DSD_SHA@DF_SHA(1.0),AUS,A,EXP_HEALTH,USD_PPP_PS,_T,_Z,_T,_T,_T,_Z,_Z,Q,1999,2785.538,2020,,D,,,0,1
OECD.ELS.HD:DSD_SHA@DF_SHA(1.0),AUS,A,EXP_HEALTH,USD_PPP_PS,_T,_Z,_T,_T,_T,_Z,_Z,Q,1998,2660.918,2020,,D,,,0,1
OECD.ELS.HD:DSD_SHA@DF_SHA(1.0),AUS,A,EXP_HEALTH,USD_PPP_PS,_T,_Z,_T,_T,_T,_Z,_Z,Q,2006,3749.335,2020,,D,,,0,1
OECD.ELS.HD:DSD_SHA@DF_SHA(1.0),AUS,A,EXP_HEALTH,USD_PPP_PS,_T,_Z,_T,_T,_T,_Z,_Z,Q,2005,3612.7,2020,,D,,,0,1
OECD.ELS.HD:DSD_SHA@DF_SHA(1.0),AUS,A,EXP_HEALTH,USD_PPP_PS,_T,_Z,_T,_T,_T,_Z,_Z,Q,2004,3548.175,2020,,D,,,0,1
OECD.ELS.HD:DSD_SHA@DF_SHA(1.0),AUS,A,EXP_HEALTH,USD_PPP_PS,_T,_Z,_T,_T,_T,_Z,_Z,Q,1987,1857.86,2020,,,,,0,1
OECD.ELS.HD:DSD_SHA@DF_SHA(1.0),AUS,A,EXP_HEALTH,USD_PPP_PS,_T,_Z,_T,_T,_T,_Z,_Z,Q,1988,1931.024,2020,,,,,0,1
OECD.ELS.HD:DSD_SHA@DF_SHA(1.0),AUS,A,EXP_HEALTH,USD_PPP_PS,_T,_Z,_T,_T,_T,_Z,_Z,Q,1989,1974.337,2020,,,,,0,1
OECD.ELS.HD:DSD_SHA@DF_SHA(1.0),AUS,A,EXP_HEALTH,USD_PPP_PS,_T,_Z,_T,_T,_T,_Z,_Z,Q,1990,2009.444,2020,,,,,0,1
OECD.ELS.HD:DSD_SHA@DF_SHA(1.0),USA,A,EXP_HEALTH,USD_PPP_PS,_T,_Z,_T,_T,_T,_Z,_Z,Q,1988,4301.483,2020,,,,,0,1
OECD.ELS.HD:DSD_SHA@DF_SHA(1.0),TUR,A,EXP_HEALTH,USD_PPP_PS,_T,_Z,_T,_T,_T,_Z,_Z,Q,1990,311.891,2020,,,,,0,1
OECD.ELS.HD:DSD_SHA@DF_SHA(1.0),TUR,A,EXP_HEALTH,USD_PPP_PS,_T,_Z,_T,_T,_T,_Z,_Z,Q,2000,674.363,2020,,,,,0,1
OECD.ELS.HD:DSD_SHA@DF_SHA(1.0),AUT,A,EXP_HEALTH,USD_PPP_PS,_T,_Z,_T,_T,_T,_Z,_Z,Q,1994,3917.032,2020,,,,,0,1
OECD.ELS.HD:DSD_SHA@DF_SHA(1.0),AUT,A,EXP_HEALTH,USD_PPP_PS,_T,_Z,_T,_T,_T,_Z,_Z,Q,1996,4134.865,2020,,,,,0,1
OECD.ELS.HD:DSD_SHA@DF_SHA(1.0),AUT,A,EXP_HEALTH,USD_PPP_PS,_T,_Z,_T,_T,_T,_Z,_Z,Q,1997,4211.418,2020,,,,,0,1
OECD.ELS.HD:DSD_SHA@DF_SHA(1.0),AUT,A,EXP_HEALTH,USD_PPP_PS,_T,_Z,_T,_T,_T,_Z,_Z,Q,1998,4445.203,2020,,,,,0,1
OECD.ELS.HD:DSD_SHA@DF_SHA(1.0),AUT,A,EXP_HEALTH,USD_PPP_PS,_T,_Z,_T,_T,_T,_Z,_Z,Q,1999,4664.008,2020,,,,,0,1
OECD.ELS.HD:DSD_SHA@DF_SHA(1.0),AUT,A,EXP_HEALTH,USD_PPP_PS,_T,_Z,_T,_T,_T,_Z,_Z,Q,2000,4718.938,2020,,,,,0,1
OECD.ELS.HD:DSD_SHA@DF_SHA(1.0),AUT,A,EXP_HEALTH,USD_PPP_PS,_T,_Z,_T,_T,_T,_Z,_Z,Q,2001,4776.365,2020,,,,,0,1
OECD.ELS.HD:DSD_SHA@DF_SHA(1.0),AUT,A,EXP_HEALTH,USD_PPP_PS,_T,_Z,_T,_T,_T,_Z,_Z,Q,2002,4895.074,2020,,,,,0,1
OECD.ELS.HD:DSD_SHA@DF_SHA(1.0),AUT,A,EXP_HEALTH,USD_PPP_PS,_T,_Z,_T,_T,_T,_Z,_Z,Q,2003,4967.35,2020,,,,,0,1
OECD.ELS.HD:DSD_SHA@DF_SHA(1.0),AUT,A,EXP_HEALTH,USD_PPP_PS,_T,_Z,_T,_T,_T,_Z,_Z,Q,2004,5123.73,2020,,,,,0,1
OECD.ELS.HD:DSD_SHA@DF_SHA(1.0),AUT,A,EXP_HEALTH,USD_PPP_PS,_T,_Z,_T,_T,_T,_Z,_Z,Q,2005,5168.261,2020,,,,,0,1
OECD.ELS.HD:DSD_SHA@DF_SHA(1.0),AUT,A,EXP_HEALTH,USD_PPP_PS,_T,_Z,_T,_T,_T,_Z,_Z,Q,2006,5267.292,2020,,,,,0,1
OECD.ELS.HD:DSD_SHA@DF_SHA(1.0),AUT,A,EXP_HEALTH,USD_PPP_PS,_T,_Z,_T,_T,_T,_Z,_Z,Q,2007,5419.719,2020,,,,,0,1
OECD.ELS.HD:DSD_SHA@DF_SHA(1.0),AUT,A,EXP_HEALTH,USD_PPP_PS,_T,_Z,_T,_T,_T,_Z,_Z,Q,2014,5877.155,2020,,,,,0,1
OECD.ELS.HD:DSD_SHA@DF_SHA(1.0),AUT,A,EXP_HEALTH,USD_PPP_PS,_T,_Z,_T,_T,_T,_Z,_Z,Q,2015,5925.348,2020,,,,,0,1
OECD.ELS.HD:DSD_SHA@DF_SHA(1.0),AUT,A,EXP_HEALTH,USD_PPP_PS,_T,_Z,_T,_T,_T,_Z,_Z,Q,2016,6002.761,2020,,,,,0,1
OECD.ELS.HD:DSD_SHA@DF_SHA(1.0),AUT,A,EXP_HEALTH,USD_PPP_PS,_T,_Z,_T,_T,_T,_Z,_Z,Q,2017,6074.392,2020,,,,,0,1
OECD.ELS.HD:DSD_SHA@DF_SHA(1.0),AUT,A,EXP_HEALTH,USD_PPP_PS,_T,_Z,_T,_T,_T,_Z,_Z,Q,2018,6137.151,2020,,,,,0,1
OECD.ELS.HD:DSD_SHA@DF_SHA(1.0),AUT,A,EXP_HEALTH,USD_PPP_PS,_T,_Z,_T,_T,_T,_Z,_Z,Q,2019,6258.114,2020,,,,,0,1
OECD.ELS.HD:DSD_SHA@DF_SHA(1.0),AUT,A,EXP_HEALTH,USD_PPP_PS,_T,_Z,_T,_T,_T,_Z,_Z,Q,2020,6295.183,2020,,,,,0,1
OECD.ELS.HD:DSD_SHA@DF_SHA(1.0),AUT,A,EXP_HEALTH,USD_PPP_PS,_T,_Z,_T,_T,_T,_Z,_Z,Q,2021,7008.799,2020,,,,,0,1
OECD.ELS.HD:DSD_SHA@DF_SHA(1.0),AUT,A,EXP_HEALTH,USD_PPP_PS,_T,_Z,_T,_T,_T,_Z,_Z,Q,2022,6588.493,2020,,,,,0,1
OECD.ELS.HD:DSD_SHA@DF_SHA(1.0),AUT,A,EXP_HEALTH,USD_PPP_PS,_T,_Z,_T,_T,_T,_Z,_Z,Q,2023,6360.593,2020,,,,,0,1
OECD.ELS.HD:DSD_SHA@DF_SHA(1.0),AUT,A,EXP_HEALTH,USD_PPP_PS,_T,_Z,_T,_T,_T,_Z,_Z,Q,2008,5598.187,2020,,,,,0,1
OECD.ELS.HD:DSD_SHA@DF_SHA(1.0),AUT,A,EXP_HEALTH,USD_PPP_PS,_T,_Z,_T,_T,_T,_Z,_Z,Q,2009,5704.378,2020,,,,,0,1
OECD.ELS.HD:DSD_SHA@DF_SHA(1.0),AUT,A,EXP_HEALTH,USD_PPP_PS,_T,_Z,_T,_T,_T,_Z,_Z,Q,2010,5745.795,2020,,,,,0,1
OECD.ELS.HD:DSD_SHA@DF_SHA(1.0),AUT,A,EXP_HEALTH,USD_PPP_PS,_T,_Z,_T,_T,_T,_Z,_Z,Q,2011,5730.372,2020,,,,,0,1
OECD.ELS.HD:DSD_SHA@DF_SHA(1.0),AUT,A,EXP_HEALTH,USD_PPP_PS,_T,_Z,_T,_T,_T,_Z,_Z,Q,2012,5816.577,2020,,,,,0,1
OECD.ELS.HD:DSD_SHA@DF_SHA(1.0),AUT,A,EXP_HEALTH,USD_PPP_PS,_T,_Z,_T,_T,_T,_Z,_Z,Q,2013,5813.279,2020,,,,,0,1
OECD.ELS.HD:DSD_SHA@DF_SHA(1.0),AUS,A,EXP_HEALTH,USD_PPP_PS,_T,_Z,_T,_T,_T,_Z,_Z,Q,2002,3180.573,2020,,D,,,0,1
OECD.ELS.HD:DSD_SHA@DF_SHA(1.0),AUS,A,EXP_HEALTH,USD_PPP_PS,_T,_Z,_T,_T,_T,_Z,_Z,Q,2001,3039.122,2020,,D,,,0,1
OECD.ELS.HD:DSD_SHA@DF_SHA(1.0),AUS,A,EXP_HEALTH,USD_PPP_PS,_T,_Z,_T,_T,_T,_Z,_Z,Q,1971,1067.417,2020,,,,,0,1
OECD.ELS.HD:DSD_SHA@DF_SHA(1.0),AUS,A,EXP_HEALTH,USD_PPP_PS,_T,_Z,_T,_T,_T,_Z,_Z,Q,1972,1097.049,2020,,,,,0,1
OECD.ELS.HD:DSD_SHA@DF_SHA(1.0),AUS,A,EXP_HEALTH,USD_PPP_PS,_T,_Z,_T,_T,_T,_Z,_Z,Q,1973,1152.993,2020,,,,,0,1
OECD.ELS.HD:DSD_SHA@DF_SHA(1.0),AUS,A,EXP_HEALTH,USD_PPP_PS,_T,_Z,_T,_T,_T,_Z,_Z,Q,1974,1280.352,2020,,,,,0,1
OECD.ELS.HD:DSD_SHA@DF_SHA(1.0),AUS,A,EXP_HEALTH,USD_PPP_PS,_T,_Z,_T,_T,_T,_Z,_Z,Q,1975,1441.838,2020,,,,,0,1
OECD.ELS.HD:DSD_SHA@DF_SHA(1.0),AUS,A,EXP_HEALTH,USD_PPP_PS,_T,_Z,_T,_T,_T,_Z,_Z,Q,1976,1481.367,2020,,,,,0,1
OECD.ELS.HD:DSD_SHA@DF_SHA(1.0),TUR,A,EXP_HEALTH,USD_PPP_PS,_T,_Z,_T,_T,_T,_Z,_Z,Q,1983,233.488,2020,,D,,,0,1
OECD.ELS.HD:DSD_SHA@DF_SHA(1.0),TUR,A,EXP_HEALTH,USD_PPP_PS,_T,_Z,_T,_T,_T,_Z,_Z,Q,1984,232.052,2020,,D,,,0,1
OECD.ELS.HD:DSD_SHA@DF_SHA(1.0),AUS,A,EXP_HEALTH,USD_PPP_PS,_T,_Z,_T,_T,_T,_Z,_Z,Q,2000,2917.471,2020,,D,,,0,1
OECD.ELS.HD:DSD_SHA@DF_SHA(1.0),AUS,A,EXP_HEALTH,USD_PPP_PS,_T,_Z,_T,_T,_T,_Z,_Z,Q,2003,3332.624,2020,,D,,,0,1
OECD.ELS.HD:DSD_SHA@DF_SHA(1.0),CAN,A,EXP_HEALTH,USD_PPP_PS,_T,_Z,_T,_T,_T,_Z,_Z,Q,2006,4358.913,2020,,B,,,0,1
OECD.ELS.HD:DSD_SHA@DF_SHA(1.0),CAN,A,EXP_HEALTH,USD_PPP_PS,_T,_Z,_T,_T,_T,_Z,_Z,Q,2004,4006.356,2020,,,,,0,1
OECD.ELS.HD:DSD_SHA@DF_SHA(1.0),CAN,A,EXP_HEALTH,USD_PPP_PS,_T,_Z,_T,_T,_T,_Z,_Z,Q,2005,4122.513,2020,,,,,0,1
OECD.ELS.HD:DSD_SHA@DF_SHA(1.0),CAN,A,EXP_HEALTH,USD_PPP_PS,_T,_Z,_T,_T,_T,_Z,_Z,Q,1993,3067.023,2020,,,,,0,1
OECD.ELS.HD:DSD_SHA@DF_SHA(1.0),CAN,A,EXP_HEALTH,USD_PPP_PS,_T,_Z,_T,_T,_T,_Z,_Z,Q,1994,3052.665,2020,,,,,0,1
OECD.ELS.HD:DSD_SHA@DF_SHA(1.0),CAN,A,EXP_HEALTH,USD_PPP_PS,_T,_Z,_T,_T,_T,_Z,_Z,Q,1995,3023.914,2020,,,,,0,1
OECD.ELS.HD:DSD_SHA@DF_SHA(1.0),CAN,A,EXP_HEALTH,USD_PPP_PS,_T,_Z,_T,_T,_T,_Z,_Z,Q,1996,2982.192,2020,,,,,0,1
OECD.ELS.HD:DSD_SHA@DF_SHA(1.0),CAN,A,EXP_HEALTH,USD_PPP_PS,_T,_Z,_T,_T,_T,_Z,_Z,Q,1997,3065.144,2020,,,,,0,1
OECD.ELS.HD:DSD_SHA@DF_SHA(1.0),CAN,A,EXP_HEALTH,USD_PPP_PS,_T,_Z,_T,_T,_T,_Z,_Z,Q,1998,3194.554,2020,,,,,0,1
OECD.ELS.HD:DSD_SHA@DF_SHA(1.0),CAN,A,EXP_HEALTH,USD_PPP_PS,_T,_Z,_T,_T,_T,_Z,_Z,Q,1999,3252.492,2020,,,,,0,1
OECD.ELS.HD:DSD_SHA@DF_SHA(1.0),CAN,A,EXP_HEALTH,USD_PPP_PS,_T,_Z,_T,_T,_T,_Z,_Z,Q,2000,3402.299,2020,,,,,0,1
OECD.ELS.HD:DSD_SHA@DF_SHA(1.0),CAN,A,EXP_HEALTH,USD_PPP_PS,_T,_Z,_T,_T,_T,_Z,_Z,Q,2001,3566.285,2020,,,,,0,1
OECD.ELS.HD:DSD_SHA@DF_SHA(1.0),CAN,A,EXP_HEALTH,USD_PPP_PS,_T,_Z,_T,_T,_T,_Z,_Z,Q,2002,3692.159,2020,,,,,0,1
OECD.ELS.HD:DSD_SHA@DF_SHA(1.0),CAN,A,EXP_HEALTH,USD_PPP_PS,_T,_Z,_T,_T,_T,_Z,_Z,Q,2008,4673.809,2020,,,,,0,1
OECD.ELS.HD:DSD_SHA@DF_SHA(1.0),CAN,A,EXP_HEALTH,USD_PPP_PS,_T,_Z,_T,_T,_T,_Z,_Z,Q,2003,3837.345,2020,,,,,0,1
OECD.ELS.HD:DSD_SHA@DF_SHA(1.0),CAN,A,EXP_HEALTH,USD_PPP_PS,_T,_Z,_T,_T,_T,_Z,_Z,Q,2007,4514.405,2020,,,,,0,1
OECD.ELS.HD:DSD_SHA@DF_SHA(1.0),CAN,A,EXP_HEALTH,USD_PPP_PS,_T,_Z,_T,_T,_T,_Z,_Z,Q,2019,5640.969,2020,,,,,0,1
OECD.ELS.HD:DSD_SHA@DF_SHA(1.0),CAN,A,EXP_HEALTH,USD_PPP_PS,_T,_Z,_T,_T,_T,_Z,_Z,Q,2018,5567.372,2020,,,,,0,1
OECD.ELS.HD:DSD_SHA@DF_SHA(1.0),CAN,A,EXP_HEALTH,USD_PPP_PS,_T,_Z,_T,_T,_T,_Z,_Z,Q,2017,5488.334,2020,,,,,0,1
OECD.ELS.HD:DSD_SHA@DF_SHA(1.0),CAN,A,EXP_HEALTH,USD_PPP_PS,_T,_Z,_T,_T,_T,_Z,_Z,Q,2016,5385.412,2020,,,,,0,1
OECD.ELS.HD:DSD_SHA@DF_SHA(1.0),CAN,A,EXP_HEALTH,USD_PPP_PS,_T,_Z,_T,_T,_T,_Z,_Z,Q,2020,6208.613,2020,,D,,,0,1
OECD.ELS.HD:DSD_SHA@DF_SHA(1.0),BEL,A,EXP_HEALTH,USD_PPP_PS,_T,_Z,_T,_T,_T,_Z,_Z,Q,1970,1022.093,2020,,D,,,0,1
OECD.ELS.HD:DSD_SHA@DF_SHA(1.0),BEL,A,EXP_HEALTH,USD_PPP_PS,_T,_Z,_T,_T,_T,_Z,_Z,Q,1971,1077.305,2020,,D,,,0,1
OECD.ELS.HD:DSD_SHA@DF_SHA(1.0),BEL,A,EXP_HEALTH,USD_PPP_PS,_T,_Z,_T,_T,_T,_Z,_Z,Q,1972,1173.657,2020,,D,,,0,1
OECD.ELS.HD:DSD_SHA@DF_SHA(1.0),BEL,A,EXP_HEALTH,USD_PPP_PS,_T,_Z,_T,_T,_T,_Z,_Z,Q,1973,1340.695,2020,,D,,,0,1
OECD.ELS.HD:DSD_SHA@DF_SHA(1.0),BEL,A,EXP_HEALTH,USD_PPP_PS,_T,_Z,_T,_T,_T,_Z,_Z,Q,1974,1396.515,2020,,D,,,0,1
