Country,Year,Outcome
BEL,2019,5.0
PRT,2023,3.22
ESP,2023,2.46
BEL,2020,4.97
BEL,2021,4.92
BEL,2022,4.87
BEL,2023,4.82
BEL,2024,4.81
CAN,1995,4.27
CAN,2005,2.73
CAN,2006,2.25
CZE,2010,4.84
HUN,2007,4.47
HUN,2018,4.26
IRL,2015,2.75
IRL,2019,2.67
LUX,2019,3.29
NLD,2021,2.21
NLD,2022,2.34
POL,2012,4.96
POL,2019,4.35
SVK,2005,5.67
SVK,2018,4.81
ESP,2010,2.55
CHE,2010,4.09
HUN,2000,6.19
CHE,1998,5.61
CHE,1999,5.64
CHE,2000,5.31
CHE,2001,5.11
CHE,2002,5.04
LTU,2000,7.62
LTU,2001,7.27
LTU,2002,6.97
LTU,2003,6.75
LTU,2004,6.51
LTU,2005,6.27
LTU,2006,6.16
LTU,2007,6.17
LTU,2008,6.16
LTU,2009,6.16
LTU,2010,6.13
LTU,2011,6.25
LTU,2012,6.28
LTU,2013,6.21
LTU,2014,6.13
LTU,2015,5.85
LTU,2016,5.57
LTU,2017,5.41
LTU,2018,5.27
LTU,2019,5.16
LTU,2020,4.94
LTU,2021,5.04
LTU,2022,4.74
LTU,2023,4.57
FIN,2000,3.93
FIN,2001,3.87
FIN,2002,3.83
FIN,2003,3.81
FIN,2004,3.78
FIN,2005,3.72
FIN,2006,3.64
FIN,2007,3.57
FIN,2008,3.5
FIN,2009,3.41
FIN,2010,3.38
FIN,2011,3.3
FIN,2012,3.24
FIN,2013,3.12
FIN,2014,3.09
FIN,2015,3.02
FIN,2016,2.93
FIN,2017,2.89
FIN,2018,2.8
FIN,2020,2.34
FIN,2021,2.39
FIN,2022,2.22
FIN,2023,2.2
FIN,2019,2.66
AUT,1988,8.44
AUT,1989,8.28
AUT,1990,8.1
AUT,1991,7.87
AUT,1992,7.66
AUT,1993,7.54
AUT,1994,7.51
AUT,1995,7.42
AUT,1996,7.31
AUT,1997,7.21
AUT,1998,7.07
AUT,1999,6.95
AUT,2000,6.85
AUT,2001,6.75
AUT,2002,6.68
AUT,2003,6.57
AUT,2004,6.51
AUT,2005,6.45
AUT,2006,6.4
AUT,2007,6.4
AUT,2008,6.32
AUT,2009,6.26
AUT,2010,6.19
AUT,2011,6.13
AUT,2012,6.03
AUT,2013,5.91
AUT,2014,5.82
AUT,2015,5.69
AUT,2016,5.59
AUT,2017,5.49
AUT,2018,5.39
AUT,2019,5.31
AUT,2020,5.13
AUT,2021,5.03
