Country,Year,Outcome
AUS,1996,10.83
AUS,1995,10.84
AUS,1994,11.5
AUS,1992,11.57
AUS,2018,11.93
AUS,2017,11.69
AUS,2016,11.57
AUS,2015,11.39
AUS,2014,11.28
AUS,2012,10.22
AUS,2013,11.12
AUS,2011,10.19
AUS,1991,12.08
AUS,1990,11.63
AUS,1989,11.72
AUS,1988,11.6
AUS,1987,11.37
AUS,1985,9.55
AUS,1984,9.91
AUS,1983,9.87
AUS,1982,9.85
AUS,1981,9.91
AUS,1980,10.33
AUS,1997,10.41
AUS,1993,11.1
AUS,1986,10.92
AUS,2023,13.04
AUS,2022,12.8
AUS,2021,12.81
AUS,2020,12.28
AUS,2019,12.23
AUS,2009,10.18
AUS,2008,10.3
AUS,2007,10.2
AUS,2005,9.76
AUS,2004,10.21
AUS,2003,9.94
AUS,2002,9.94
AUS,2001,9.95
AUS,2000,10.07
AUS,1999,10.17
AUT,2010,6.53
AUT,2009,6.47
AUT,2008,6.36
AUT,2007,6.21
AUT,1987,3.69
AUT,1986,3.56
AUT,1985,3.41
AUT,2023,10.63
AUT,2022,11.02
AUT,2021,10.91
AUT,2020,10.47
AUT,2019,10.39
AUT,2006,6.14
AUT,2005,5.99
AUT,2004,5.93
AUT,2003,5.68
AUT,2002,5.68
AUT,2001,5.58
AUT,2000,5.55
AUT,1999,5.42
AUT,1998,5.27
AUT,1997,5.19
AUT,1996,5.06
AUT,1995,4.95
AUT,1994,4.75
AUT,1993,4.43
AUT,1992,4.19
AUT,1991,4.02
AUT,1990,3.91
AUT,1989,3.82
AUT,1988,3.67
AUT,2018,6.87
AUT,2017,6.85
AUT,2016,6.77
AUT,2015,6.8
AUT,2014,6.79
AUT,2013,6.69
AUT,2012,6.65
BEL,2016,10.96
BEL,2015,10.83
BEL,2014,10.58
BEL,2013,10.3
BEL,2012,10.02
BEL,2011,9.81
BEL,2010,9.59
BEL,2008,9.32
BEL,2007,9.24
BEL,2006,9.12
BEL,2005,9.01
BEL,2004,8.79
BEL,2022,11.51
BEL,2021,11.6
BEL,2020,11.6
BEL,2019,11.53
BEL,2018,11.07
BEL,2017,11.22
CAN,2014,9.81
CAN,2013,9.54
CAN,2012,9.4
CAN,2011,9.29
CAN,2010,9.37
CAN,2009,9.32
CAN,2008,9.16
CAN,2007,9.04
CAN,2006,8.84
CAN,2005,8.73
CAN,2004,8.51
CAN,2003,8.51
CAN,2023,10.05
CAN,2022,10.18
CAN,2021,10.25
CAN,2020,10.07
CAN,2019,9.98
CAN,2018,9.94
CAN,2017,10.0
CAN,2016,9.95
CZE,2007,8.03
CZE,2006,8.07
CZE,2005,8.11
CZE,2003,7.98
CZE,1982,6.26
CZE,1981,6.09
CZE,1980,5.95
CZE,2022,9.07
CZE,2017,8.5
CZE,2004,8.11
CZE,2000,7.61
CZE,2014,7.93
CZE,2002,7.99
CZE,2001,7.85
CZE,1999,7.38
CZE,1998,7.35
CZE,1997,7.35
CZE,1996,7.38
CZE,1995,7.41
CZE,1994,7.25
CZE,1993,7.26
CZE,1992,7.29
CZE,1991,7.24
CZE,1990,7.26
CZE,1989,7.24
CZE,1988,7.13
CZE,1987,7.03
CZE,1986,6.91
CZE,1985,6.75
CZE,1984,6.57
CZE,1983,6.41
CZE,2023,8.96
CZE,2021,8.95
CZE,2020,8.66
CZE,2019,8.56
CZE,2018,8.52
CZE,2016,7.93
CZE,2015,8.01
CZE,2013,7.99
CZE,2012,8.06
CZE,2011,8.03
CZE,2010,8.1
CZE,2009,8.09
DNK,2021,10.34
DNK,2020,10.24
DNK,2019,10.13
DNK,2018,10.1
DNK,1998,9.17
DNK,1997,9.06
DNK,1996,8.82
DNK,1995,8.76
DNK,1994,8.72
DNK,1993,8.81
DNK,1992,8.73
DNK,2022,10.42
DNK,2017,10.03
DNK,2016,9.95
DNK,2015,9.92
DNK,2014,9.93
DNK,2013,9.95
DNK,2012,9.96
DNK,2011,9.87
DNK,2010,9.83
DNK,2009,9.8
DNK,2008,9.55
DNK,2007,9.3
DNK,2006,9.55
DNK,2005,9.59
DNK,2004,9.44
DNK,2003,9.29
DNK,2002,9.44
DNK,2001,9.33
DNK,2000,9.31
DNK,1999,9.13
EST,2008,6.41
EST,2007,6.4
EST,2006,6.31
EST,2004,6.24
EST,1983,8.0
EST,1982,7.95
EST,1981,7.63
EST,1980,7.4
EST,2013,5.64
EST,2012,6.17
EST,2005,6.29
EST,1992,6.45
EST,2003,6.14
EST,2002,6.01
EST,2001,5.8
EST,2000,5.84
EST,1999,5.99
EST,1998,6.14
EST,1997,6.17
EST,1996,6.26
EST,1995,6.44
EST,1994,6.44
EST,1993,6.52
EST,1991,6.51
EST,1990,8.13
EST,1989,8.17
EST,1988,8.33
EST,1987,8.39
EST,1986,8.25
EST,1985,8.2
EST,1984,8.11
EST,2023,6.64
EST,2022,6.58
EST,2021,6.49
EST,2020,6.38
EST,2019,6.24
EST,2018,6.29
EST,2017,6.19
EST,2016,6.1
EST,2015,6.01
EST,2014,5.74
EST,2011,6.24
EST,2010,6.12
FIN,2014,11.35
FIN,2013,11.21
FIN,2012,11.0
FIN,2011,10.73
FIN,2010,10.39
FIN,2009,10.16
FIN,2008,9.89
FIN,2007,9.52
FIN,2006,9.3
FIN,2005,9.02
FIN,2004,8.65
FIN,2023,12.67
FIN,2022,12.83
FIN,2021,12.78
FIN,2020,12.52
FIN,2019,12.2
FIN,2018,12.19
FIN,2017,11.95
FIN,2016,11.68
FRA,2015,8.47
FRA,2014,8.37
FRA,2013,8.28
FRA,2021,8.83
FRA,2020,8.87
FRA,2019,8.76
FRA,2018,8.71
FRA,2017,8.67
DEU,2011,10.14
DEU,2010,9.87
DEU,2009,9.79
DEU,2008,9.58
DEU,2007,9.41
DEU,2006,9.29
DEU,2005,9.18
DEU,2004,9.03
DEU,2003,8.94
DEU,2002,8.76
DEU,2001,8.66
DEU,2000,8.59
DEU,2023,12.25
DEU,2022,12.08
DEU,2021,12.03
DEU,2020,12.04
DEU,2019,11.79
DEU,2018,11.52
DEU,2017,11.08
DEU,2016,10.87
DEU,2015,10.72
DEU,2014,10.72
DEU,2013,10.54
GRC,2010,3.45
GRC,2009,3.36
GRC,2008,3.27
GRC,2007,3.23
GRC,2006,3.25
GRC,2005,3.34
GRC,2004,3.3
GRC,2003,3.32
GRC,2002,3.31
GRC,2001,2.95
GRC,2000,2.75
GRC,1999,2.64
GRC,2023,3.79
GRC,2022,3.84
GRC,2021,3.77
GRC,2020,3.65
GRC,2019,3.38
GRC,2018,3.37
GRC,2017,3.31
GRC,2016,3.25
GRC,2015,3.21
GRC,2014,3.23
GRC,2013,3.29
GRC,2012,3.34
HUN,2020,5.32
HUN,2019,5.37
HUN,2018,5.41
HUN,2016,6.47
HUN,1995,5.35
HUN,1994,5.44
HUN,1993,5.44
HUN,1992,5.12
HUN,1991,4.87
HUN,1990,5.19
HUN,2017,5.35
HUN,2000,5.28
HUN,2015,6.5
HUN,2014,6.44
HUN,2013,6.44
HUN,2012,6.32
HUN,2011,6.21
HUN,2010,6.21
HUN,2009,6.21
HUN,2008,6.15
HUN,2007,5.95
HUN,2006,6.2
HUN,2005,5.95
HUN,2004,5.78
HUN,2003,5.77
HUN,2002,5.68
HUN,2001,5.52
HUN,1999,5.37
HUN,1998,5.47
HUN,1997,5.33
HUN,1996,5.41
HUN,2023,5.54
HUN,2022,5.47
ISL,2010,14.54
ISL,2009,15.29
ISL,2008,14.89
ISL,2007,14.0
ISL,1987,11.77
ISL,1986,11.43
ISL,1985,11.1
ISL,1984,11.01
ISL,1983,10.71
ISL,1982,9.98
ISL,1981,9.34
ISL,1980,8.89
ISL,2006,13.72
ISL,2005,13.97
ISL,2004,13.69
ISL,2003,13.64
ISL,2002,13.27
ISL,2001,13.14
ISL,2000,13.26
ISL,1999,13.4
ISL,1998,13.5
ISL,1997,13.11
ISL,1996,13.1
ISL,1995,13.1
ISL,1994,12.86
ISL,1993,12.75
ISL,1992,12.46
ISL,1991,12.51
ISL,1990,12.48
ISL,1989,12.07
ISL,1988,11.87
ISL,2024,15.66
ISL,2023,15.19
ISL,2022,14.87
ISL,2021,14.95
ISL,2020,15.63
ISL,2019,15.36
ISL,2018,14.67
ISL,2017,14.5
ISL,2016,14.22
ISL,2015,15.45
ISL,2014,15.33
ISL,2013,15.45
ISL,2012,15.16
IRL,2023,13.66
IRL,2022,13.01
IRL,2021,12.54
ISR,2005,5.23
ISR,2004,5.15
ISR,2003,5.28
ISR,2023,5.57
ISR,2002,5.41
ISR,2001,5.49
ISR,2000,5.43
ISR,1999,5.43
ISR,1998,5.34
ISR,1997,5.25
ISR,1996,5.3
ISR,2010,4.74
ISR,2022,5.45
ISR,2021,5.38
ISR,2020,5.23
ISR,2019,5.07
ISR,2018,4.98
ISR,2017,4.91
ISR,2016,4.82
ISR,2015,4.81
ISR,2014,4.78
ISR,2013,4.72
ISR,2012,4.67
ISR,2011,4.72
ISR,2009,4.73
ISR,2008,4.87
ISR,2007,5.11
ITA,2014,5.32
ITA,2013,5.07
ITA,2012,5.05
ITA,2011,5.15
ITA,2010,5.18
ITA,2009,5.21
ITA,2008,5.22
ITA,2007,5.24
ITA,2006,5.12
ITA,2005,4.96
ITA,2004,5.11
ITA,2003,5.23
ITA,2022,6.81
ITA,2023,6.86
ITA,2021,6.8
ITA,2020,6.28
ITA,2019,6.16
ITA,2018,5.77
ITA,2017,5.85
ITA,2016,5.61
JPN,2002,8.43
JPN,2022,12.18
JPN,2020,12.1
JPN,2018,11.74
JPN,2016,11.33
JPN,2014,10.96
JPN,2012,10.54
JPN,2010,10.11
JPN,2008,9.58
JPN,2006,9.14
KOR,2006,3.98
KOR,2005,3.84
KOR,2004,3.8
KOR,2024,9.8
KOR,2003,3.54
KOR,2002,3.43
KOR,2001,3.2
KOR,2000,2.98
KOR,1999,2.92
KOR,1998,2.77
KOR,1997,2.74
KOR,2016,6.83
KOR,2023,9.49
KOR,2022,9.1
KOR,2021,8.77
KOR,2020,8.37
KOR,2019,7.93
KOR,2018,7.24
KOR,2017,6.95
KOR,2015,5.94
KOR,2014,5.57
KOR,2013,5.2
KOR,2012,4.83
KOR,2011,4.71
KOR,2010,4.61
KOR,2009,4.46
KOR,2008,4.32
LVA,2017,4.57
LVA,2016,4.64
LVA,2015,4.68
LVA,2014,4.82
LVA,1993,5.13
LVA,1992,5.43
LVA,1991,5.85
LVA,1990,5.72
LVA,1989,5.53
LVA,2022,4.17
LVA,2020,4.18
LVA,2005,5.0
LVA,2013,4.88
LVA,2012,4.86
LVA,2011,4.96
LVA,2010,5.01
LVA,2009,4.9
LVA,2008,5.55
LVA,2007,5.53
LVA,2006,5.61
LVA,2004,4.88
LVA,2003,4.72
LVA,2002,4.56
LVA,2001,4.51
LVA,2000,4.58
LVA,1999,4.66
LVA,1998,4.47
LVA,1997,4.71
LVA,1996,4.86
LVA,1995,4.88
LVA,1994,4.57
LVA,2023,4.17
LVA,2021,4.19
LVA,2019,4.39
LTU,2021,7.86
LTU,2020,7.76
LTU,2019,7.69
