Country,Year,Outcome
AUS,1978,1.85
AUS,1977,1.65
AUS,1976,1.64
AUS,1975,1.48
AUS,2016,3.58
AUS,2015,3.51
AUS,2014,3.45
AUS,2012,3.31
AUS,1991,2.33
AUS,1984,1.83
AUS,2013,3.37
AUS,2011,3.32
AUS,1974,1.42
AUS,1973,1.35
AUS,1972,1.38
AUS,1971,1.26
AUS,1970,1.33
AUS,1969,1.26
AUS,1968,1.24
AUS,1967,1.26
AUS,1966,1.23
AUS,1965,1.22
AUS,1964,1.23
AUS,1961,1.13
AUS,2023,4.2
AUS,2022,4.12
AUS,2021,4.02
AUS,2020,3.91
AUS,2019,3.83
AUS,2018,3.75
AUS,2017,3.68
AUS,2009,3.12
AUS,2008,3.02
AUS,2007,3.01
AUS,2006,2.84
AUS,2005,2.78
AUS,2004,2.71
AUS,2003,2.63
AUS,2002,2.56
AUS,2001,2.56
AUS,2000,2.49
AUS,1999,2.45
AUS,1998,2.4
AUS,1997,2.4
AUS,1996,2.4
AUS,1995,2.48
AUS,1994,2.44
AUS,1993,2.4
AUS,1992,2.37
AUS,1990,2.17
AUS,1989,2.14
AUS,1988,2.1
AUS,1987,2.06
AUS,1986,2.01
AUS,1985,1.91
AUS,1983,1.95
AUS,1982,1.9
AUS,1981,1.86
AUS,1980,1.85
AUT,1988,2.8
AUT,1987,2.7
AUT,1986,2.67
AUT,1985,2.57
AUT,1965,1.56
AUT,1964,1.56
AUT,1963,1.56
AUT,1962,1.57
AUT,1961,1.58
AUT,1960,1.59
AUT,2013,4.96
AUT,2007,4.52
AUT,1984,2.5
AUT,1983,2.42
AUT,1982,2.33
AUT,1981,2.27
AUT,1980,2.21
AUT,1979,2.14
AUT,1978,2.07
AUT,1977,2.01
AUT,1976,1.95
AUT,1975,1.87
AUT,1974,1.81
AUT,1973,1.76
AUT,1972,1.71
AUT,1971,1.7
AUT,1970,1.67
AUT,1969,1.63
AUT,1968,1.6
AUT,1967,1.58
AUT,1966,1.57
AUT,2024,5.65
AUT,2023,5.51
AUT,2022,5.45
AUT,2021,5.41
AUT,2020,5.32
AUT,2019,5.29
AUT,2018,5.22
AUT,2017,5.16
AUT,2016,5.11
AUT,2015,5.06
AUT,2014,5.02
AUT,2012,4.87
AUT,2011,4.82
AUT,2010,4.77
AUT,2009,4.67
AUT,2008,4.59
AUT,2006,4.45
AUT,2005,4.32
AUT,2004,4.2
AUT,2003,4.11
AUT,2002,4.03
AUT,2001,3.96
AUT,2000,3.85
AUT,1999,3.77
AUT,1998,3.77
AUT,1997,3.66
AUT,1996,3.58
AUT,1995,3.51
AUT,1994,3.41
AUT,1993,3.3
AUT,1992,3.21
AUT,1991,3.09
AUT,1990,3.01
BEL,1989,3.23
BEL,1988,3.1
BEL,1987,3.02
BEL,1986,2.92
BEL,1965,1.46
BEL,1964,1.44
BEL,1963,1.42
BEL,1962,1.4
BEL,1961,1.35
BEL,1960,1.28
BEL,2023,3.37
BEL,1999,2.8
BEL,1985,2.84
BEL,1984,2.75
BEL,1983,2.81
BEL,1982,2.52
BEL,1981,2.43
BEL,1980,2.31
BEL,1979,2.24
BEL,1978,2.15
BEL,1977,2.0
BEL,1976,1.91
BEL,1975,1.89
BEL,1974,1.77
BEL,1973,1.69
BEL,1972,1.64
BEL,1971,1.54
BEL,1969,1.55
BEL,1968,1.55
BEL,1967,1.52
BEL,1966,1.49
BEL,2022,3.26
BEL,2021,3.25
BEL,2020,3.21
BEL,2019,3.16
BEL,2018,3.13
BEL,2017,3.08
BEL,2016,3.07
BEL,2015,3.02
BEL,2014,2.98
BEL,2013,2.96
BEL,2012,2.93
BEL,2011,2.92
BEL,2010,2.92
BEL,2009,2.92
BEL,2008,2.92
BEL,2007,2.91
BEL,2006,2.89
BEL,2005,2.87
BEL,2004,2.87
BEL,2003,2.86
BEL,2002,2.86
BEL,2001,2.85
BEL,2000,2.83
BEL,1998,3.74
BEL,1997,3.68
BEL,1996,3.61
BEL,1995,3.54
BEL,1994,3.51
BEL,1993,3.44
BEL,1992,3.39
BEL,1991,3.33
CAN,2011,2.35
CAN,2010,2.28
CAN,2009,2.24
CAN,2008,2.17
CAN,2007,2.12
CAN,2006,2.08
CAN,2005,2.07
CAN,2004,2.04
CAN,2003,2.02
CAN,2002,2.02
CAN,2001,2.01
CAN,2000,2.01
CAN,2023,2.72
CAN,2022,2.75
CAN,2021,2.77
CAN,2020,2.73
CAN,2019,2.73
CAN,2018,2.72
CAN,2017,2.66
CAN,2016,2.62
CAN,2015,2.56
CAN,2014,2.51
CAN,2013,2.46
CZE,1997,3.11
CZE,1996,2.98
CZE,1995,3.0
CZE,1994,2.93
CZE,1974,1.98
